GEOID,lat,lon,chosen
39049009361,39.96586983838399,-82.85017966528827,0
39049006721,40.10348506845495,-83.02567369403846,0
39049006910,40.08780060048825,-83.0275581095374,0
39049008210,39.96177655362559,-83.10324745396484,0
39049008241,39.976835241386446,-83.07597879099404,0
39049009440,39.85358223955222,-82.88708405144385,0
39049008340,39.92559126638035,-83.03025241591799,0
39049008360,39.92350275302234,-83.0790967457361,0
39049009420,39.9038475957967,-82.86977752652217,0
39049008380,39.902117006067435,-83.02750874174524,0
39049008811,39.90800091746466,-82.9760203577231,0
39049007533,40.04320522227491,-82.94042369521112,0
39049007492,40.042412650707426,-82.87802390811787,0
39049009336,39.92583871912061,-82.92433519796805,0
39049006391,40.125284060297965,-83.0466238399462,0
39049006722,40.101516448140906,-83.0064605965587,0
39049009390,39.974217142902994,-82.79075332740392,1
39049008825,39.884871203468364,-82.97721440163976,0
39049006822,40.073263708124834,-83.01022436581022,0
39049000210,40.044604742330826,-83.00963521125385,0
39049009220,39.96288077395157,-82.89942782619548,0
39049006932,40.07219717713367,-82.96318183615168,0
39049007205,40.10247253254705,-82.82485496361683,0
39049006236,40.12943840803738,-83.12943012486754,0
39049006396,40.080053465663134,-83.07225984823333,0
39049007044,40.131487462058274,-83.00493130763961,0
39049007047,40.11893756778197,-82.98056925405159,0
39049007198,40.088875454600846,-82.90091311216973,0
39049007202,40.069387202944974,-82.89785907807988,0
39049010601,40.01740432663796,-83.17735427677312,0
39049009900,40.10072637624825,-82.9898755411368,0
39049010000,40.105463673005985,-82.8759876999883,0
39049010300,39.81870024344202,-82.92914023829738,0
39049009405,39.832749004963375,-82.81739904955441,0
39049007397,39.987085956371274,-82.82682076717282,0
39049009397,39.94860025614743,-82.83716471979625,0
39049008171,39.96757207037269,-83.15435525388287,0
39049009754,39.842283048059684,-83.03144267846058,0
39049007211,40.06696128535911,-82.79721219129111,0
39049010202,39.87715989073553,-82.81227821722504,0
39049006241,40.0779744046942,-83.1659660930159,1
39049007398,40.01331217929682,-82.78041097472577,1
39049007213,40.10937153604754,-82.79879162770277,0
39049007212,40.078356576804204,-82.82954494939372,0
39049007214,40.08778971677947,-82.8554110573331,0
39049007961,40.04724180118031,-83.18543892310106,0
